Player,GP,MPG,PPG,FG%,3P,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,NBA
A'Daeron Duncan,33.0,22.4,6.2,0.361,0.255,0.768,1.2,2.5,3.6,1.3,0.9,0.4,1.6,1.6,No
A'Torey Everett,24.0,9.7,2.4,0.386,0.571,0.8,0.1,0.8,0.9,0.7,0.1,0.0,0.8,1.4,No
A'Torri Shine,29.0,31.95,13.3,0.4065,0.3155,0.7455,1.1,2.7,3.8499999999999996,1.0,0.8,0.2,2.2,2.1,No
A'uston Calhoun,24.75,22.825,10.8,0.4245,0.33225,0.6795,1.5999999999999999,3.175,4.775,0.5,0.42500000000000004,0.42500000000000004,1.475,1.725,No
A.B. Lehmann,6.0,2.3,0.8,0.5,0.5,0.5,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.5,No
A.C. Kelly,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.8,No
A.C. Reid,26.5,18.25,4.45,0.27925,0.26875,0.52325,0.1,1.6,1.7,1.1500000000000001,0.475,0.1,0.975,1.6500000000000001,No
A.D. Vassallo,33.0,28.35,13.55,0.44225000000000003,0.382,0.7885,0.875,3.525,4.4,1.65,0.6,0.475,1.8,2.15,No
A.J. Abrams,37.0,21.2,6.4,0.401,0.39,0.878,0.4,1.3,1.7,3.0,0.7,0.0,1.6,1.2,No
A.J. Adams,8.0,5.0,0.6,0.4,0.0,0.5,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.8,No
A.J. Astroth,9.0,4.8,0.4,0.2,0.0,0.0,0.1,0.4,0.6,0.3,0.1,0.0,0.2,0.3,No
A.J. Atkinson,12.0,2.25,0.75,0.6000000000000001,0.3335,0.3,0.15000000000000002,0.35,0.5,0.1,0.0,0.0,0.05,0.25,No
A.J. Avery,19.0,4.7,1.1,0.571,0.0,0.625,0.5,0.3,0.8,0.1,0.1,0.1,0.3,0.5,No
A.J. Bocard,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
A.J. Bowers,14.0,5.3,0.6,0.75,0.0,1.0,0.4,0.6,1.0,0.1,0.1,0.1,0.3,0.8,No
A.J. Bramah,33.0,28.8,13.4,0.569,0.0,0.671,2.4,5.7,8.2,1.3,0.9,0.5,1.6,2.1,No
A.J. Brodeur,29.75,32.275,15.45,0.5235000000000001,0.33025,0.6275,1.9500000000000002,5.875,7.825000000000001,3.3,1.0,1.675,2.6,2.5,No
A.J. Burch,6.0,2.3,0.3,0.0,0.0,0.5,0.0,0.8,0.8,0.0,0.0,0.0,1.0,0.2,No
A.J. Caldwell,21.5,18.1,3.8,0.345,0.295,0.5417500000000001,0.425,2.225,2.65,1.3,0.5249999999999999,0.225,0.725,1.225,No
A.J. Castro,21.0,8.3,2.0,0.308,0.188,0.938,0.1,0.8,0.9,0.7,0.7,0.0,0.9,0.9,No
A.J. Cheeseman,22.666666666666668,16.900000000000002,6.733333333333334,0.4466666666666667,0.104,0.5826666666666667,1.0333333333333334,2.1666666666666665,3.1666666666666665,0.5,0.43333333333333335,0.43333333333333335,1.3333333333333333,2.1,No
A.J. Cockrell,32.0,13.2,3.3,0.467,0.0,0.575,1.0,1.1,2.2,0.3,0.3,0.3,0.6,2.3,No
A.J. Davis,29.5,24.3375,9.3375,0.423125,0.27037500000000003,0.6365,0.95,3.4749999999999996,4.4125,1.45,1.0,0.2875,1.9,1.9625,No
A.J. Diggs,29.0,18.35,2.6,0.331,0.1875,0.635,0.55,1.45,2.05,2.0,1.65,0.0,1.15,2.2,No
A.J. Durham,30.75,26.55,8.55,0.41025,0.34925,0.76275,0.225,2.025,2.25,2.0,0.5,0.19999999999999998,1.325,2.15,No
A.J. Edwards,7.666666666666667,3.7999999999999994,0.9333333333333332,0.30966666666666665,0.21433333333333335,0.4166666666666667,0.16666666666666666,0.3,0.4666666666666666,0.3666666666666667,0.03333333333333333,0.0,0.13333333333333333,0.3,No
A.J. Farrar,23.5,14.8,6.6,0.5415,0.3265,0.577,1.4,2.9,4.25,0.44999999999999996,0.45,0.4,0.7,1.95,No
A.J. Frazier,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No
A.J. Garden,1.5,1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,No
A.J. Gareri,10.0,6.1,0.9,0.222,0.2,0.667,0.0,0.7,0.7,0.1,0.0,0.0,0.4,0.4,No
A.J. Gasporra,16.0,7.0,2.3,0.429,0.421,0.833,0.1,0.3,0.3,0.7,0.3,0.0,0.8,0.7,No
A.J. Graft,4.0,2.3,0.5,0.333,0.0,0.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,No
A.J. Graves,32.5,33.725,13.75,0.3915,0.35175,0.89375,0.3,2.15,2.425,2.45,1.425,0.07500000000000001,1.65,1.55,No
A.J. Gray,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,No
A.J. Green,22.666666666666668,33.699999999999996,19.0,0.43,0.38199999999999995,0.816,0.5333333333333333,3.3333333333333335,3.9,2.6666666666666665,0.8666666666666667,0.26666666666666666,3.1333333333333333,1.8333333333333333,No
A.J. Hammons,33.0,24.25,12.075,0.535,0.13625,0.69,2.375,4.675,7.05,0.775,0.375,2.6,2.05,2.475,Sí
A.J. Hardeman,34.25,18.95,5.35,0.5145,0.0,0.45875,1.7,2.15,3.85,0.39999999999999997,0.5,0.725,1.1,2.6,No
A.J. Harris,26.0,20.475,7.1000000000000005,0.393,0.3385,0.47775,0.25,1.125,1.35,2.9,0.8500000000000001,0.075,1.225,1.4500000000000002,No
