Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season
Toni Kukoc,MIL,53,20.7,5.6,2.0,4.8,.410,0.8,2.2,.362,0.8,1.2,.721,0.6,2.4,3.0,3.0,0.7,0.2,1.2,1.3,2004/2005
Howard Eisley,UTA,74,19.3,5.6,2.2,5.5,.398,0.4,1.4,.262,0.9,1.1,.795,0.2,1.0,1.2,3.4,0.6,0.1,1.5,2.1,2004/2005
Junior Harrington,NOP,29,18.9,5.6,2.2,6.1,.360,0.2,0.7,.316,1.0,1.2,.829,0.4,1.7,2.2,2.1,0.9,0.2,1.4,2.5,2004/2005
Nick Collison,SEA,82,17.0,5.6,2.3,4.3,.537,0.0,0.0,.000,1.0,1.4,.703,1.9,2.7,4.6,0.4,0.4,0.6,0.8,3.1,2004/2005
Devin Harris,DAL,76,15.4,5.7,2.1,4.8,.429,0.6,1.7,.336,1.0,1.4,.757,0.4,1.0,1.3,2.2,1.0,0.3,1.1,1.8,2004/2005
Jason Collier,ATL,70,13.5,5.7,2.5,5.4,.463,0.1,0.2,.429,0.7,1.0,.676,1.2,1.4,2.6,0.3,0.2,0.2,0.9,2.1,2004/2005
Fred Hoiberg,MIN,76,16.7,5.8,1.8,3.7,.489,0.9,1.9,.483,1.2,1.3,.873,0.4,2.0,2.4,1.1,0.7,0.2,0.3,1.4,2004/2005
Milt Palacio,TOR,80,19.1,5.8,2.2,4.9,.446,0.0,0.2,.167,1.4,1.9,.742,0.3,1.4,1.7,3.5,0.6,0.2,1.3,1.6,2004/2005
Eddie House,SAC,68,13.1,5.8,2.4,5.4,.451,0.6,1.4,.454,0.3,0.4,.852,0.2,1.0,1.2,1.4,0.6,0.1,0.5,1.0,2004/2005
Zeljko Rebraca,LAC,58,16.0,5.8,2.3,4.0,.568,0.0,0.0,.000,1.3,1.5,.859,0.8,2.3,3.2,0.4,0.2,0.7,0.8,2.2,2004/2005
Trevor Ariza,NYK,80,17.3,5.9,2.2,4.9,.442,0.0,0.2,.231,1.5,2.2,.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,2004/2005
Rasho Nesterovic,SAS,70,25.5,5.9,2.8,6.1,.460,0.0,0.0,.000,0.2,0.4,.467,2.6,3.9,6.6,1.0,0.4,1.7,1.0,3.0,2004/2005
Beno Udrih,SAS,80,14.4,5.9,2.2,4.9,.444,0.7,1.8,.408,0.8,1.1,.753,0.2,0.8,1.0,1.9,0.5,0.1,1.0,1.2,2004/2005
Ira Newble,CLE,74,24.8,5.9,2.5,5.7,.429,0.3,0.7,.358,0.7,0.9,.797,1.1,1.9,3.0,1.2,0.7,0.2,0.8,1.9,2004/2005
Michael Olowokandi,MIN,62,19.6,5.9,2.6,5.7,.456,0.0,0.0,.000,0.7,1.1,.667,1.7,3.5,5.2,0.5,0.2,0.9,1.1,3.1,2004/2005
Chris Duhon,CHI,82,26.5,5.9,2.1,6.0,.352,1.1,3.2,.355,0.6,0.8,.731,0.3,2.3,2.6,4.9,1.0,0.0,1.5,2.5,2004/2005
Zarko Cabarkapa,GSW,40,11.9,6.0,2.2,4.4,.486,0.3,0.9,.361,1.3,1.6,.815,0.9,1.7,2.6,0.6,0.3,0.1,0.8,1.5,2004/2005
Lamond Murray,TOR,62,14.8,6.0,2.1,5.0,.426,0.7,1.7,.438,1.0,1.3,.763,0.7,1.9,2.6,0.8,0.5,0.3,0.9,1.4,2004/2005
Robert Horry,SAS,75,18.6,6.0,2.1,5.0,.419,0.7,1.8,.370,1.1,1.5,.789,1.2,2.4,3.6,1.1,0.9,0.8,0.9,1.8,2004/2005
Kendall Gill,MIL,14,20.3,6.1,2.3,5.7,.400,0.2,0.6,.333,1.3,1.4,.900,0.8,1.9,2.6,1.9,1.0,0.3,0.6,2.6,2004/2005
David Harrison,IND,43,17.7,6.1,2.5,4.3,.576,0.0,0.0,.000,1.2,2.1,.571,1.1,2.0,3.1,0.3,0.4,1.3,1.2,3.1,2004/2005
Greg Buckner,DEN,70,21.8,6.2,2.3,4.3,.528,0.7,1.7,.405,0.9,1.2,.778,0.9,2.0,3.0,1.9,1.1,0.1,0.7,2.4,2004/2005
Zaza Pachulia,MIL,74,18.9,6.2,2.2,4.8,.452,0.0,0.0,.000,1.9,2.5,.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,2004/2005
David West,NOP,30,18.4,6.2,2.5,5.7,.436,0.1,0.2,.400,1.1,1.7,.680,1.3,3.0,4.3,0.8,0.4,0.5,1.2,2.1,2004/2005
Marcus Fizer,MIL,54,16.7,6.2,2.5,5.4,.455,0.0,0.1,.000,1.3,1.9,.680,0.5,2.7,3.2,1.2,0.5,0.2,1.2,1.8,2004/2005
Kerry Kittles,LAC,11,22.1,6.3,2.5,6.6,.384,0.6,1.9,.333,0.5,0.9,.600,0.1,2.8,2.9,1.8,0.7,0.3,0.6,1.1,2004/2005
Brian Scalabrine,NJN,54,21.6,6.3,2.4,6.1,.398,0.4,1.3,.324,1.0,1.3,.768,1.5,3.0,4.5,1.6,0.6,0.3,1.2,2.1,2004/2005
Steve Smith,MIA,50,15.0,6.3,2.0,5.0,.411,0.8,2.1,.390,1.4,1.6,.863,0.3,1.0,1.3,1.4,0.3,0.1,0.5,1.6,2004/2005
Damien Wilkins,SEA,29,17.9,6.3,2.5,5.8,.435,0.6,2.0,.271,0.7,1.2,.618,1.0,1.3,2.3,0.9,0.8,0.3,0.6,1.9,2004/2005
Brian Cook,LAL,72,15.1,6.4,2.4,5.9,.417,1.1,2.8,.392,0.4,0.5,.757,0.9,2.1,3.0,0.5,0.3,0.4,0.4,1.9,2004/2005
Jannero Pargo,CHI,32,14.2,6.4,2.6,6.7,.385,0.7,2.1,.348,0.5,0.7,.739,0.4,1.1,1.5,2.4,0.5,0.0,1.4,1.7,2004/2005
Jason Collins,NJN,80,31.8,6.4,2.3,5.6,.412,0.0,0.1,.333,1.7,2.6,.656,1.9,4.2,6.1,1.3,0.9,0.9,1.1,4.0,2004/2005
Tony Allen,BOS,77,16.4,6.4,2.4,5.0,.475,0.2,0.4,.387,1.5,2.0,.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,2004/2005
Maurice Evans,SAC,65,19.0,6.4,2.5,5.7,.442,0.4,1.3,.329,0.9,1.2,.756,1.4,1.7,3.1,0.7,0.6,0.1,0.5,1.6,2004/2005
